date,temperature,humidity,luminosity
2022-11-10 15:21:17.717,23.3,26.4,108
2022-11-10 15:21:16.439,23.3,26.4,108
2022-11-10 15:21:15.435,23.3,26.4,106
2022-11-10 15:21:14.160,23.3,26.4,106
2022-11-10 15:21:13.157,23.3,26.4,105
2022-11-10 15:21:11.879,23.3,26.4,106
2022-11-10 15:21:10.880,23.3,26.4,107
2022-11-10 15:21:09.601,23.3,26.5,106
2022-11-10 15:21:08.601,23.3,26.5,108
2022-11-10 15:21:07.324,23.4,26.5,107
2022-11-10 15:21:06.320,23.4,26.5,107
2022-11-10 15:21:05.047,23.3,26.6,108
2022-11-10 15:21:04.043,23.3,26.6,94
2022-11-10 15:21:02.764,23.3,26.6,97
2022-11-10 15:21:01.764,23.3,26.6,104
2022-11-10 15:21:00.487,23.3,26.7,105
2022-11-10 15:20:59.483,23.3,26.7,104
2022-11-10 15:20:58.209,23.3,26.8,97
2022-11-10 15:20:57.206,23.3,26.8,97
2022-11-10 15:20:55.928,23.3,26.9,98
2022-11-10 15:20:54.928,23.3,26.9,97
2022-11-10 15:20:53.650,23.3,26.9,97
2022-11-10 15:20:52.646,23.3,26.9,98
